component_id,component_name,type,name,value
system.core0,core0,stat,busy_cycles,100000
system.core0,core0,stat,ROB_reads,400000
system.core0,core0,stat,ROB_writes,400000
system.core0,core0,stat,rename_reads,800000
system.core0,core0,stat,rename_writes,400000
system.core0,core0,stat,fp_rename_reads,200000
system.core0,core0,stat,fp_rename_writes,100000
system.core0,core0,stat,inst_window_reads,400000
system.core0,core0,stat,inst_window_writes,400000
system.core0,core0,stat,inst_window_wakeup_accesses,800000
system.core0,core0,stat,fp_inst_window_reads,200000
system.core0,core0,stat,fp_inst_window_writes,200000
system.core0,core0,stat,fp_inst_window_wakeup_accesses,400000
system.core0,core0,stat,int_regfile_reads,600000
system.core0,core0,stat,float_regfile_reads,100000
system.core0,core0,stat,int_regfile_writes,300000
system.core0,core0,stat,float_regfile_writes,50000
system.core0,core0,stat,function_calls,5
system.core0,core0,stat,context_switches,260343
system.core0,core0,stat,ialu_accesses,300000
system.core0,core0,stat,fpu_accesses,100000
system.core0,core0,stat,mul_accesses,200000
system.core0,core0,stat,cdb_alu_accesses,300000
system.core0,core0,stat,cdb_mul_accesses,200000
system.core0,core0,stat,cdb_fpu_accesses,100000
system.core0,core0,stat,IFU_duty_cycle,0.25
system.core0,core0,stat,LSU_duty_cycle,0.25
system.core0,core0,stat,MemManU_I_duty_cycle,0.25
system.core0,core0,stat,MemManU_D_duty_cycle,0.25
system.core0,core0,stat,ALU_duty_cycle,1
system.core0,core0,stat,MUL_duty_cycle,0.3
system.core0,core0,stat,FPU_duty_cycle,0.3
system.core0,core0,stat,ALU_cdb_duty_cycle,1
system.core0,core0,stat,MUL_cdb_duty_cycle,0.3
system.core0,core0,stat,FPU_cdb_duty_cycle,0.3
system.core0.predictor,PBT,param,local_predictor_size,"10,3"
system.core0.predictor,PBT,param,local_predictor_entries,1024
system.core0.predictor,PBT,param,global_predictor_entries,4096
system.core0.predictor,PBT,param,global_predictor_bits,2
system.core0.predictor,PBT,param,chooser_predictor_entries,4096
system.core0.predictor,PBT,param,chooser_predictor_bits,2
system.core0.itlb,itlb,param,number_entries,128
system.core0.itlb,itlb,stat,total_accesses,200000
system.core0.itlb,itlb,stat,total_misses,4
system.core0.itlb,itlb,stat,conflicts,0
system.core0.icache,icache,param,icache_config,"131072,32,8,1,8,3,32,0"
system.core0.icache,icache,param,buffer_sizes,"16, 16, 16,0"
system.core0.icache,icache,stat,read_accesses,200000
system.core0.icache,icache,stat,read_misses,0
system.core0.icache,icache,stat,conflicts,0
system.core0.dtlb,dtlb,param,number_entries,128
system.core0.dtlb,dtlb,stat,total_accesses,400000
system.core0.dtlb,dtlb,stat,total_misses,4
system.core0.dtlb,dtlb,stat,conflicts,0
system.core0.dcache,dcache,param,dcache_config,"16384,16,4,1, 3,3, 16,1 "
system.core0.dcache,dcache,param,buffer_sizes,"16, 16, 16, 16"
system.core0.dcache,dcache,stat,read_accesses,800000
system.core0.dcache,dcache,stat,write_accesses,27276
system.core0.dcache,dcache,stat,read_misses,1632
system.core0.dcache,dcache,stat,write_misses,183
system.core0.dcache,dcache,stat,conflicts,0
system.core0.BTB,BTB,param,BTB_config,"5120,4,2,1, 1,3"
system.core0.BTB,BTB,stat,read_accesses,400000
system.core0.BTB,BTB,stat,write_accesses,0
system.L1Directory0,L1Directory0,param,Directory_type,0
system.L1Directory0,L1Directory0,param,Dir_config,"4096,2,0,1,100,100, 8"
system.L1Directory0,L1Directory0,param,buffer_sizes,"8, 8, 8, 8"
system.L1Directory0,L1Directory0,param,clockrate,3400
system.L1Directory0,L1Directory0,param,vdd,0
system.L1Directory0,L1Directory0,param,power_gating_vcc,-1
system.L1Directory0,L1Directory0,param,ports,"1,1,1"
system.L1Directory0,L1Directory0,param,device_type,0
system.L1Directory0,L1Directory0,stat,read_accesses,800000
system.L1Directory0,L1Directory0,stat,write_accesses,27276
system.L1Directory0,L1Directory0,stat,read_misses,1632
system.L1Directory0,L1Directory0,stat,write_misses,183
system.L1Directory0,L1Directory0,stat,conflicts,20
system.L2Directory0,L2Directory0,param,Directory_type,1
system.L2Directory0,L2Directory0,param,Dir_config,"1048576,16,16,1,2, 100"
system.L2Directory0,L2Directory0,param,buffer_sizes,"8, 8, 8, 8"
system.L2Directory0,L2Directory0,param,clockrate,3400
system.L2Directory0,L2Directory0,param,vdd,0
system.L2Directory0,L2Directory0,param,power_gating_vcc,-1
system.L2Directory0,L2Directory0,param,ports,"1,1,1"
system.L2Directory0,L2Directory0,param,device_type,0
system.L2Directory0,L2Directory0,stat,read_accesses,58824
system.L2Directory0,L2Directory0,stat,write_accesses,27276
system.L2Directory0,L2Directory0,stat,read_misses,1632
system.L2Directory0,L2Directory0,stat,write_misses,183
system.L2Directory0,L2Directory0,stat,conflicts,100
system.L20,L20,param,L2_config,"1048576,32, 8, 8, 8, 23, 32, 1"
system.L20,L20,param,buffer_sizes,"16, 16, 16, 16"
system.L20,L20,param,clockrate,3400
system.L20,L20,param,vdd,0
system.L20,L20,param,power_gating_vcc,-1
system.L20,L20,param,ports,"1,1,1"
system.L20,L20,param,device_type,0
system.L20,L20,stat,read_accesses,200000
system.L20,L20,stat,write_accesses,27276
system.L20,L20,stat,read_misses,1632
system.L20,L20,stat,write_misses,183
system.L20,L20,stat,conflicts,0
system.L20,L20,stat,duty_cycle,0.5
system.L30,L30,param,L3_config,"16777216,64,16, 16, 16, 100,1"
system.L30,L30,param,clockrate,850
system.L30,L30,param,ports,"1,1,1"
system.L30,L30,param,device_type,0
system.L30,L30,param,vdd,0
system.L30,L30,param,power_gating_vcc,-1
system.L30,L30,param,buffer_sizes,"16, 16, 16, 16"
system.L30,L30,stat,read_accesses,11824
system.L30,L30,stat,write_accesses,11276
system.L30,L30,stat,read_misses,1632
system.L30,L30,stat,write_misses,183
system.L30,L30,stat,conflicts,0
system.L30,L30,stat,duty_cycle,1
system.NoC0,noc0,param,clockrate,3400
system.NoC0,noc0,param,vdd,0
system.NoC0,noc0,param,power_gating_vcc,-1
system.NoC0,noc0,param,type,0
system.NoC0,noc0,param,horizontal_nodes,1
system.NoC0,noc0,param,vertical_nodes,1
system.NoC0,noc0,param,has_global_link,0
system.NoC0,noc0,param,link_throughput,1
system.NoC0,noc0,param,link_latency,1
system.NoC0,noc0,param,input_ports,1
system.NoC0,noc0,param,output_ports,1
system.NoC0,noc0,param,flit_bits,256
system.NoC0,noc0,param,chip_coverage,1
system.NoC0,noc0,param,link_routing_over_percentage,0.5
system.NoC0,noc0,stat,total_accesses,100000
system.NoC0,noc0,stat,duty_cycle,1
system.mc,mc,param,type,0
system.mc,mc,param,mc_clock,200
system.mc,mc,param,vdd,0
system.mc,mc,param,power_gating_vcc,-1
system.mc,mc,param,peak_transfer_rate,3200
system.mc,mc,param,block_size,64
system.mc,mc,param,number_mcs,0
system.mc,mc,param,memory_channels_per_mc,1
system.mc,mc,param,number_ranks,2
system.mc,mc,param,withPHY,0
system.mc,mc,param,req_window_size_per_channel,32
system.mc,mc,param,IO_buffer_size_per_channel,32
system.mc,mc,param,databus_width,128
system.mc,mc,param,addressbus_width,51
system.mc,mc,stat,memory_accesses,33333
system.mc,mc,stat,memory_reads,16667
system.mc,mc,stat,memory_writes,16667
system.niu,niu,param,type,0
system.niu,niu,param,clockrate,350
system.niu,niu,param,vdd,0
system.niu,niu,param,power_gating_vcc,-1
system.niu,niu,param,number_units,0
system.niu,niu,stat,duty_cycle,1.0
system.niu,niu,stat,total_load_perc,0.7
system.pcie,pcie,param,type,0
system.pcie,pcie,param,withPHY,1
system.pcie,pcie,param,clockrate,350
system.pcie,pcie,param,vdd,0
system.pcie,pcie,param,power_gating_vcc,-1
system.pcie,pcie,param,number_units,0
system.pcie,pcie,param,num_channels,8
system.pcie,pcie,stat,duty_cycle,1.0
system.pcie,pcie,stat,total_load_perc,0.7
system.flashc,flashc,param,number_flashcs,0
system.flashc,flashc,param,type,1
system.flashc,flashc,param,withPHY,1
system.flashc,flashc,param,peak_transfer_rate,200
system.flashc,flashc,param,vdd,0
system.flashc,flashc,param,power_gating_vcc,-1
system.flashc,flashc,stat,duty_cycle,1.0
system.flashc,flashc,stat,total_load_perc,0.7
